updated_datetime;current_population
2021-06-02 12:55:28.499834;213,882,580
2021-06-03 12:39:45.359468;213,886,432
2021-06-04 12:54:36.404126;213,890,367
2021-06-05 12:39:39.550830;213,894,222
2021-06-06 12:39:20.804163;213,898,116
2021-06-07 12:48:04.278369;213,902,034
2021-06-08 12:16:33.201902;213,905,844
2021-06-09 12:16:07.739846;213,909,738
2021-06-10 12:16:47.716275;213,913,635
2021-06-11 12:14:38.907518;213,917,524
2021-06-12 12:14:11.984045;213,921,418
2021-06-13 12:14:47.170915;213,925,314
2021-06-14 12:15:08.729332;213,929,210
2021-06-15 12:15:02.875926;213,933,105
2021-06-16 12:15:27.326293;213,937,001
2021-06-17 12:15:26.010378;213,940,896
2021-06-18 12:15:06.447268;213,944,790
2021-06-19 12:14:26.195106;213,948,683
2021-06-20 12:14:36.693196;213,952,579
2021-06-21 12:15:48.195360;213,956,477
2021-06-22 12:15:20.716547;213,960,371
2021-06-23 12:12:35.847245;213,964,259
2021-06-24 12:09:41.576401;213,968,146
2021-06-25 12:15:13.583687;213,972,056
2021-06-27 12:15:31.785193;213,979,846
2021-06-28 12:16:02.079123;213,983,743
2021-06-29 12:15:46.124061;213,987,637
2021-06-30 12:15:57.301751;213,991,533
2021-07-01 12:16:39.879209;213,995,430
2021-07-02 12:16:04.487299;213,999,323
2021-07-03 12:14:58.391163;214,003,215
2021-07-04 12:14:59.237248;214,007,110
2021-07-05 16:12:22.363429;214,011,647
2021-07-06 12:15:39.750099;214,014,902
2021-07-07 12:15:48.627746;214,018,797
2021-07-08 12:16:24.907129;214,022,694
2021-07-09 12:15:25.312959;214,026,586
2021-07-10 12:15:05.670901;214,030,480
2021-07-11 12:15:07.021077;214,034,375
2021-07-12 12:16:06.975760;214,038,273
2021-07-13 12:17:15.110280;214,042,171
2021-07-14 12:16:28.303475;214,046,064
2021-07-15 12:16:28.809325;214,049,959
2021-07-16 12:16:13.291056;214,053,853
2021-07-17 12:15:20.239397;214,057,746
2021-07-18 12:15:08.112110;214,061,640
2021-07-19 12:16:27.649894;214,065,539
2021-07-20 12:15:58.885651;214,069,433
2021-07-21 12:16:20.592435;214,073,329
2021-07-22 12:16:27.846896;214,077,224
2021-07-23 12:15:58.650320;214,081,118
2021-07-24 12:15:06.098271;214,085,010
2021-07-25 12:15:36.734372;214,088,907
2021-07-26 12:16:00.975155;214,092,803
2021-07-27 12:16:22.064723;214,096,699
2021-07-28 12:16:17.558215;214,100,594
2021-07-29 12:16:19.743680;214,104,489
2021-07-30 12:16:08.653366;214,108,383
2021-07-31 12:15:52.658185;214,112,277
2021-08-01 12:15:27.773640;214,116,171
2021-08-02 12:16:32.155521;214,120,069
2021-08-03 12:16:43.974523;214,123,965
2021-08-04 12:16:46.201962;214,127,860
2021-08-05 12:18:48.496160;214,131,760
2021-08-06 12:18:35.909907;214,135,655
2021-08-07 12:18:03.868972;214,139,548
2021-08-08 12:16:46.137460;214,143,440
2021-08-09 12:18:38.026828;214,147,340
2021-08-10 12:16:23.964454;214,151,229
2021-08-11 12:18:34.672254;214,155,130
2021-08-12 12:18:39.360582;214,159,025
2021-08-13 12:16:34.149369;214,162,914
2021-08-14 12:16:21.441764;214,166,809
2021-08-15 12:16:53.889184;214,170,705
2021-08-16 12:22:17.671170;214,174,615
2021-08-17 12:17:02.912564;214,178,496
2021-08-18 12:18:41.781983;214,182,395
2021-08-19 12:18:48.085149;214,186,290
2021-08-20 12:18:53.609166;214,190,186
2021-08-21 12:15:37.177598;214,194,072
2021-08-22 12:15:55.671409;214,197,968
2021-08-23 12:17:06.906818;214,201,866
2021-08-24 12:16:46.439135;214,205,760
2021-08-25 12:16:35.164785;214,209,654
2021-08-26 12:17:15.754880;214,213,551
2021-08-27 12:16:51.779069;214,217,445
2021-08-28 12:17:34.083441;214,221,342
2021-08-29 12:15:52.459891;214,225,232
2021-08-30 12:18:33.986704;214,229,135
2021-08-31 12:17:07.651975;214,233,026
2021-09-01 12:16:57.120564;214,236,920
2021-09-02 12:16:44.501916;214,240,815
2021-09-03 12:16:38.973779;214,244,709
2021-09-04 12:15:54.628869;214,248,603
2021-09-05 12:16:00.565798;214,252,498
2021-09-06 12:17:40.571583;214,256,397
2021-09-07 12:16:45.274297;214,260,290
2021-09-08 12:17:05.451524;214,264,186
2021-09-09 12:16:48.901757;214,268,080
2021-09-10 12:16:26.602381;214,271,974
2021-09-11 12:15:30.462889;214,275,866
2021-09-12 12:15:57.287244;214,279,763
2021-09-13 12:17:46.327460;214,283,663
2021-09-14 12:17:13.865189;214,287,556
2021-09-15 12:17:26.074576;214,291,452
2021-09-16 12:16:44.240134;214,295,345
2021-09-17 12:16:47.882852;214,299,240
2021-09-18 12:15:40.562044;214,303,132
2021-09-19 12:16:33.911555;214,307,029
2021-09-20 12:17:01.313470;214,310,925
2021-09-21 12:16:52.879774;214,314,820
2021-09-22 12:20:50.341003;214,318,726
2021-09-23 12:18:21.627661;214,322,614
2021-09-24 12:16:33.348090;214,326,504
2021-09-25 12:15:43.594303;214,330,397
2021-09-26 12:16:07.021286;214,334,293
2021-09-28 15:30:31.905546;214,342,609
2021-09-29 12:33:15.875588;214,346,024
2021-09-30 12:34:38.849495;214,349,923
2021-10-01 12:33:19.166065;214,353,815
2021-10-02 12:31:47.067142;214,357,705
2021-10-03 12:32:10.225572;214,361,602
2021-10-04 12:32:59.464089;214,365,499
2021-10-05 12:33:22.481446;214,369,395
2021-10-06 12:33:25.658235;214,373,290
2021-10-07 12:36:19.833164;214,377,193
2021-10-08 12:33:44.205999;214,381,081
2021-10-09 12:31:50.134658;214,384,971
2021-10-10 12:31:48.608467;214,388,865
2021-10-11 12:33:09.290857;214,392,764
2021-10-12 12:34:05.253824;214,396,662
2021-10-13 12:33:41.223046;214,400,556
2021-10-14 12:33:53.257445;214,404,451
2021-10-15 12:33:48.520694;214,408,346
2021-10-16 12:32:12.678350;214,412,237
2021-10-17 14:47:41.598582;214,416,498
2021-10-18 12:33:52.126210;214,420,031
2021-10-19 12:34:11.715449;214,423,927
2021-10-20 12:34:36.403209;214,427,823
2021-10-21 12:34:48.449406;214,431,719
2021-10-22 12:34:08.855715;214,435,612
2021-10-23 12:32:37.872021;214,439,503
2021-10-24 12:33:00.855640;214,443,399
2021-10-25 12:34:16.415046;214,447,297
2021-10-26 12:34:29.082446;214,451,193
2021-10-27 12:34:46.870998;214,455,089
2021-10-28 12:34:30.501011;214,458,983
2021-10-29 12:34:01.179829;214,462,876
2021-10-30 12:32:32.144572;214,466,767
2021-10-31 12:32:46.194167;214,470,663
2021-11-01 12:34:50.905713;214,474,564
2021-11-02 12:34:27.066859;214,478,458
2021-11-03 12:34:27.681370;214,482,353
2021-11-04 12:34:16.560026;214,486,247
2021-11-05 12:34:04.913960;214,490,142
2021-11-06 12:32:30.566476;214,494,032
2021-11-07 12:32:46.893253;214,497,928
2021-11-08 12:34:18.253374;214,501,827
2021-11-09 12:35:19.593360;214,505,725
2021-11-10 12:34:30.663155;214,509,618
2021-11-11 12:36:38.489818;214,513,519
2021-11-12 12:34:28.520627;214,517,408
2021-11-13 12:32:58.256394;214,521,299
2021-11-14 12:32:56.839742;214,525,194
2021-11-15 12:35:13.426210;214,529,095
2021-11-16 12:34:29.536277;214,532,988
2021-11-17 12:34:56.452987;214,536,884
2021-11-18 15:35:57.042265;214,541,269
2021-11-19 12:34:30.480624;214,544,673
2021-11-20 12:33:12.440884;214,548,564
2021-11-21 12:33:27.506715;214,552,460
2021-11-23 12:34:39.180399;214,560,253
2021-11-24 12:34:54.223582;214,564,149
2021-11-25 12:34:57.234665;214,568,044
2021-11-26 12:34:27.661167;214,571,938
2021-11-27 12:33:11.783813;214,575,829
2021-11-28 12:33:32.036520;214,579,725
2021-11-29 12:35:08.648828;214,583,625
2021-11-30 12:29:01.661518;214,587,503
2021-12-01 12:35:45.824710;214,591,416
2021-12-02 12:35:24.119;214,595,310
2021-12-03 12:34:55.816993;214,599,204
2021-12-04 12:36:12.186373;214,603,102
2021-12-05 15:36:56.559186;214,607,486
2021-12-06 12:36:00.222443;214,610,892
2021-12-07 12:38:05.980799;214,614,793
2021-12-08 12:37:52.999445;214,618,687
2021-12-09 12:36:00.416482;214,622,577
2021-12-10 12:35:27.755575;214,626,470
