Date;Price
07/01/1997;3.819.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
08/01/1997;379.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
09/01/1997;3.609.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
10/01/1997;39.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
13/01/1997;4
14/01/1997;40.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
15/01/1997;4.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
16/01/1997;470.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
17/01/1997;3.910.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
20/01/1997;32.599.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
21/01/1997;29.900.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
22/01/1997;304.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
23/01/1997;295.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
24/01/1997;262.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
27/01/1997;2.979.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
28/01/1997;304.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
29/01/1997;2.910.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
30/01/1997;2.859.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
31/01/1997;2.770.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/02/1997;24.900.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
04/02/1997;2.589.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
05/02/1997;2.649.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
06/02/1997;25.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
07/02/1997;2.390.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
10/02/1997;24.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
11/02/1997;2.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
12/02/1997;24.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
13/02/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/02/1997;212.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
18/02/1997;18.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
19/02/1997;19.499.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
20/02/1997;19.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
21/02/1997;19.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
24/02/1997;19.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
25/02/1997;1.770.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
26/02/1997;1.810.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
27/02/1997;18.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
28/02/1997;17.800.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/03/1997;18.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
04/03/1997;187.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
05/03/1997;19.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
06/03/1997;18.200.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
07/03/1997;18.899.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
10/03/1997;19.499.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
11/03/1997;19.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
12/03/1997;195.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
13/03/1997;1.979.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
14/03/1997;19.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
17/03/1997;20.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
18/03/1997;19.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
19/03/1997;187.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
20/03/1997;187.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
21/03/1997;187.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
24/03/1997;18.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
25/03/1997;1.850.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
26/03/1997;1.850.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
27/03/1997;18.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
31/03/1997;18.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
01/04/1997;19.499.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
02/04/1997;1.850.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/04/1997;187.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
04/04/1997;19.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
07/04/1997;19.899.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
08/04/1997;20.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
09/04/1997;195.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
10/04/1997;19.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000.000
11/04/1997;1.979.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
14/04/1997;2
15/04/1997;2
16/04/1997;2.020.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
17/04/1997;20.800.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
18/04/1997;2.100.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
21/04/1997;2.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
22/04/1997;2.100.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
23/04/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
24/04/1997;2.109.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
25/04/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
28/04/1997;2.100.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
29/04/1997;2.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
30/04/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
01/05/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
02/05/1997;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
05/05/1997;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
06/05/1997;2.25
07/05/1997;2.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
08/05/1997;23.300.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
09/05/1997;229.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
12/05/1997;2.270.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
13/05/1997;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/05/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
15/05/1997;2.25
16/05/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
19/05/1997;2.25
20/05/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
21/05/1997;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
22/05/1997;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
23/05/1997;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
27/05/1997;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
28/05/1997;2.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
29/05/1997;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
30/05/1997;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
02/06/1997;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/06/1997;2.109.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
04/06/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
05/06/1997;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
06/06/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
09/06/1997;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
10/06/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
11/06/1997;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
12/06/1997;2.140.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
